"LLAVEHOG","LLAVEVIV","P2_8","FOLIO","VIV_SEL","HOGAR","EST_DIS","UPM_DIS","FAC_HOG"
"10208101","1020810","01","10208","10","1","027","00275",1555
"10209021","1020902","02","10209","02","1","169","02011",775
"10210071","1021007","03","10210","07","1","062","00881",1964
"10211051","1021105","03","10211","05","1","170","02023",991
"10212031","1021203","00","10212","03","1","092","01136",3408
"10212032","1021203","01","10212","03","2","092","01136",3408
"10212033","1021203","01","10212","03","3","092","01136",3408
"10212034","1021203","00","10212","03","4","092","01136",3408
"10212035","1021203","01","10212","03","5","092","01136",3408
"10213011","1021301","02","10213","01","1","189","02159",1210
"10214201","1021420","02","10214","20","1","141","01675",2637
"10215201","1021520","02","10215","20","1","043","00482",3070
"10216121","1021612","02","10216","12","1","062","00879",3249
"10217041","1021704","02","10217","04","1","048","00591",3541
"10218121","1021812","00","10218","12","1","117","01410",5193
"10219031","1021903","02","10219","03","1","023","00249",685
"10220041","1022004","01","10220","04","1","137","01593",1069
"10221021","1022102","01","10221","02","1","016","00177",582
"10222011","1022201","02","10222","01","1","103","01238",973
"10223111","1022311","02","10223","11","1","100","01213",1488
"10223112","1022311","00","10223","11","2","100","01213",1488
"10224051","1022405","03","10224","05","1","087","01104",1917
"10225121","1022512","02","10225","12","1","109","01373",2841
"10226031","1022603","01","10226","03","1","088","01105",4784
"10227051","1022705","02","10227","05","1","066","00910",3312
"10228011","1022801","01","10228","01","1","075","00966",3387
"10229011","1022901","01","10229","01","1","009","00070",3330
"10230011","1023001","02","10230","01","1","085","01040",12481
"10231041","1023104","00","10231","04","1","036","00437",666
"10232041","1023204","01","10232","04","1","145","01701",2718
"10233051","1023305","03","10233","05","1","145","01699",2772
"10234101","1023410","03","10234","10","1","056","00831",4889
"10235201","1023520","01","10235","20","1","173","02041",4774
"10236041","1023604","03","10236","04","1","046","00540",3689
"10237021","1023702","02","10237","02","1","049","00651",3240
"10238091","1023809","01","10238","09","1","001","00003",848
"10239041","1023904","02","10239","04","1","033","00395",576
"10240081","1024008","02","10240","08","1","020","00223",797
"10241051","1024105","01","10241","05","1","044","00507",2734
"10242051","1024205","01","10242","05","1","139","01623",1392
"10243051","1024305","04","10243","05","1","098","01190",1362
"10244161","1024416","01","10244","16","1","051","00765",1494
"10245011","1024501","08","10245","01","1","030","00356",1435
"10246031","1024603","01","10246","03","1","108","01337",3479
"10247051","1024705","02","10247","05","1","058","00851",4808
"10248151","1024815","03","10248","15","1","062","00879",3249
"10249051","1024905","00","10249","05","1","105","01254",2584
"10250011","1025001","02","10250","01","1","065","00899",2997
"10251031","1025103","01","10251","03","1","088","01107",4964
"10252041","1025204","01","10252","04","1","009","00092",2345
"10253011","1025301","01","10253","01","1","030","00341",1527
"10254031","1025403","03","10254","03","1","177","02082",8379
"10255021","1025502","01","10255","02","1","123","01462",2245
"10256051","1025605","01","10256","05","1","108","01339",3444
"10257041","1025704","01","10257","04","1","131","01520",2107
"10258011","1025801","03","10258","01","1","048","00588",3638
"10259131","1025913","01","10259","13","1","125","01465",3729
"10260011","1026001","01","10260","01","1","042","00480",3631
"10261021","1026102","02","10261","02","1","006","00048",1412
"10262011","1026201","00","10262","01","1","141","01674",2757
"10263021","1026302","01","10263","02","1","162","01868",1768
"10264051","1026405","02","10264","05","1","162","01909",1376
"10265031","1026503","02","10265","03","1","144","01690",2756
"10266031","1026603","01","10266","03","1","124","01463",8536
"10267011","1026701","01","10267","01","1","097","01169",1663
"10268041","1026804","03","10268","04","1","006","00051",1346
"10269031","1026903","02","10269","03","1","029","00296",1685
"10270051","1027005","01","10270","05","1","080","01011",4558
"10271081","1027108","01","10271","08","1","039","00449",4091
"10272041","1027204","01","10272","04","1","014","00148",833
"10273011","1027301","01","10273","01","1","005","00031",1371
"10274011","1027401","01","10274","01","1","108","01340",3422
"10275041","1027504","00","10275","04","1","152","01805",1980
"10276051","1027605","02","10276","05","1","108","01362",3181
"10277031","1027703","02","10277","03","1","044","00510",2594
"10278021","1027802","01","10278","02","1","097","01178",1181
"10279021","1027902","00","10279","02","1","097","01180",550
"10280041","1028004","02","10280","04","1","159","01842",2431
"10281151","1028115","01","10281","15","1","038","00446",6693
