LLAVESDE,LLAVEMOD,LLAVEVIV,LLAVEHOG,N_REN,FOLIO,VIV_SEL,HOGAR,EDAD_V,SEXO,NIV,GRA,PAREN,ENT,TLOC,REGION,P3_2,P3_8,P3_10,P3_11A,P3_11B,P3_12,P3_14,P3_5_5,P4_1,P4_3,P4_10,P4_11,P0_1,P0_2,P0_3,P0_4_2,P1_1,P2_8,P6_2_1,P6_2_2,P6_2_3,P6_2_4,P6_2_5,P6_2_6,P6_2_7,P6_2_8,P6_2_9,P8_1,P8_5_1,P8_5_2,P8_5_3,P12_2,P12_3,P12_4,P13_2_1,P13_2_2,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,P6_4_6,P6_4_7,P6_4_8,P6_4_9,delinquent_any,delinquent_count
168405104,168405104,168405,1684051,4,1684,5,1,44,2,6,3,3,18,2,3,3,1,1.0,2500.0,1.0,1.0,1,1,2,1,1,2,2,2,2,1,5,3,2,2,2,2,2,2,2,2,2,2,,,,9,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
168516101,168516101,168516,1685161,1,1685,16,1,40,1,3,1,1,31,2,6,5,1,4.0,4000.0,1.0,2.0,2,1,1,1,1,2,2,3,1,1,4,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,1,1,1,,,,,,,,,,,,,,,,,,,0,0
168615102,168615102,168615,1686151,2,1686,15,1,42,2,2,4,2,24,4,2,5,7,,,,,2,1,2,1,3,1,2,3,1,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
168704101,168704101,168704,1687041,1,1687,4,1,60,2,2,5,1,21,2,5,4,1,3.0,600.0,1.0,1.0,1,2,2,2,1,2,2,4,0,1,3,1,1,2,2,2,2,2,2,2,2,2,,,,3,2,2,2,2,1.0,,,,,,,,,2.0,,,,,,,,,1,1
168804101,168804101,168804,1688041,1,1688,4,1,32,1,3,3,1,2,1,1,6,1,1.0,1500.0,1.0,1.0,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,,,,3,3,3,1,2,2.0,,,,,2.0,,,,,,,,,,,,,0,0
168905103,168905103,168905,1689051,3,1689,5,1,24,1,8,1,3,6,1,3,6,1,1.0,4000.0,1.0,2.0,1,1,1,2,4,2,2,4,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,3,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
169003102,169003102,169003,1690031,2,1690,3,1,34,2,6,3,3,31,1,6,6,1,1.0,1300.0,1.0,1.0,2,1,2,1,4,2,3,8,2,1,6,3,2,2,2,2,2,2,2,2,2,2,,,,9,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
169112101,169112101,169112,1691121,1,1691,12,1,55,1,2,6,1,16,2,3,5,1,5.0,500.0,1.0,2.0,1,1,2,1,2,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,2,3,1,2,,,,,,,,,,,,,,,,,,,0,0
169204101,169204101,169204,1692041,1,1692,4,1,38,1,3,3,1,25,1,1,6,7,,,,,1,1,2,1,2,2,2,3,1,1,3,0,2,2,2,2,2,2,2,2,2,2,,,,2,3,1,2,1,,,,,,,,,,,,,,,,,,,0,0
169301101,169301101,169301,1693011,1,1693,1,1,49,2,6,3,1,9,1,4,2,1,5.0,4500.0,3.0,1.0,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,9,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
169402101,169402101,169402,1694021,1,1694,2,1,58,2,5,3,1,9,1,4,6,1,5.0,5000.0,1.0,2.0,1,1,2,1,3,2,2,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,,,,2,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
169511102,169511102,169511,1695111,2,1695,11,1,48,2,2,6,2,26,4,1,5,1,2.0,180.0,1.0,2.0,2,1,2,2,1,1,3,4,1,1,5,3,1,2,2,2,2,2,2,2,2,2,,,,9,1,1,2,2,1.0,,,,,,,,,2.0,,,,,,,,,1,1
169604102,169604102,169604,1696041,2,1696,4,1,40,2,3,3,2,24,1,2,5,7,,,,,1,2,2,1,3,2,2,4,1,1,3,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,1,1,,,,,,,,,,,,,,,,,,,0,0
169717102,169717102,169717,1697171,2,1697,17,1,27,1,3,2,3,21,4,5,6,1,5.0,0.0,,,1,1,1,2,1,1,1,2,0,1,4,2,2,2,2,2,2,2,2,2,2,2,,,,9,3,9,2,2,,,,,,,,,,,,,,,,,,,0,0
169802101,169802101,169802,1698021,1,1698,2,1,68,2,6,3,1,24,1,2,2,7,,,,,1,1,1,1,2,2,3,4,1,1,1,0,2,2,2,2,2,2,2,2,2,2,,,,1,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
169919102,169919102,169919,1699191,2,1699,19,1,60,2,3,3,2,26,4,1,5,7,,,,,1,1,2,1,2,1,2,5,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,1,2,,,,,,,,,,,,,,,,,,,0,0
170005102,170005102,170005,1700051,2,1700,5,1,56,2,3,3,6,27,3,6,4,1,5.0,500.0,1.0,2.0,1,3,2,1,3,2,2,5,1,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,9,1,9,2,2,,,,,,,,,,,,,,,,,,,0,0
170102103,170102103,170102,1701021,3,1701,2,1,23,1,8,4,5,10,1,1,6,1,1.0,6700.0,2.0,1.0,1,1,1,1,5,2,3,5,1,1,4,2,1,1,1,2,2,2,2,2,2,1,1.0,1.0,2.0,3,1,3,2,1,2.0,2.0,2.0,,,,,,,,,,,,,,,,0,0
170204101,170204101,170204,1702041,1,1702,4,1,41,2,8,5,1,19,1,2,5,4,4.0,600.0,1.0,2.0,1,1,2,2,2,2,3,5,2,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
170305102,170305102,170305,1703051,2,1703,5,1,61,2,3,3,2,5,2,2,5,1,5.0,2000.0,1.0,2.0,1,1,1,2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,8,3,3,1,1,,,,,,,,,,,,,,,,,,,0,0
170401101,170401101,170401,1704011,1,1704,1,1,42,1,6,3,1,2,1,1,6,3,3.0,1000.0,1.0,2.0,2,1,2,2,1,2,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,3,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
170504101,170504101,170504,1705041,1,1705,4,1,81,2,3,3,1,22,2,3,4,7,,,,,1,1,1,1,5,2,2,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,2,,,,,,,,,,,,,,,,,,,0,0
170603102,170603102,170603,1706031,2,1706,3,1,39,2,8,5,2,24,1,2,5,1,1.0,4500.0,2.0,1.0,1,2,2,2,1,2,3,4,1,1,4,2,1,2,2,2,2,1,2,2,2,2,,,,9,2,3,1,2,1.0,,,,,2.0,,,,1.0,,,,,,,,,1,1
170704103,170704103,170704,1707041,3,1707,4,1,19,1,6,3,3,23,1,6,6,1,1.0,2500.0,1.0,2.0,1,1,2,1,3,2,2,3,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,1,1,1,2,2,,,,,,,,,,,,,,,,,,,0,0
170816101,170816101,170816,1708161,1,1708,16,1,55,1,8,6,1,20,2,6,5,1,1.0,10.0,1.0,2.0,1,1,1,1,1,2,3,5,2,1,3,1,1,1,2,2,1,2,2,2,2,1,2.0,2.0,1.0,9,3,3,2,1,2.0,2.0,,,2.0,,,,,,,,,,,,,,0,0
170918101,170918101,170918,1709181,1,1709,18,1,57,2,0,0,1,27,4,6,5,7,,,,,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,,,,9,9,9,1,2,,,,,,,1.0,,,,,,,,,2.0,,,1,1
171010102,171010102,171010,1710101,2,1710,10,1,36,2,6,3,2,16,4,3,5,1,1.0,1400.0,1.0,1.0,1,1,2,2,2,2,2,3,1,1,6,4,2,2,2,2,2,2,2,2,2,2,,,,9,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
171104101,171104101,171104,1711041,1,1711,4,1,49,2,6,3,1,23,1,6,2,1,1.0,2180.0,1.0,1.0,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2.0,1.0,2.0,2,3,3,1,2,1.0,,,,,2.0,,,,2.0,,,,,,,,,1,1
