LLAVESDE,LLAVEMOD,LLAVEVIV,LLAVEHOG,N_REN,FOLIO,VIV_SEL,HOGAR,EDAD_V,SEXO,NIV,GRA,PAREN,ENT,TLOC,REGION,P3_2,P3_8,P3_10,P3_11A,P3_11B,P3_12,P3_14,P3_5_5,P4_1,P4_3,P4_10,P4_11,P0_1,P0_2,P0_3,P0_4_2,P1_1,P2_8,P6_2_1,P6_2_2,P6_2_3,P6_2_4,P6_2_5,P6_2_6,P6_2_7,P6_2_8,P6_2_9,P8_1,P8_5_1,P8_5_2,P8_5_3,P12_2,P12_3,P12_4,P13_2_1,P13_2_2,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,P6_4_6,P6_4_7,P6_4_8,P6_4_9,delinquent_any,delinquent_count
101101,101101,101,1011,1,1,1,1,38,1,8,4,1,3,1,1,5,1,1.0,7000.0,2.0,1.0,1,1,1,1,3,2,2,4,1,1,3,1,1,1,2,1,2,2,2,2,2,1,1.0,1.0,2.0,1,1,1,2,2,2.0,2.0,,2.0,,,,,,,,,,,,,,,0,0
210101,210101,210,2101,1,2,10,1,36,1,8,5,1,31,3,6,2,1,1.0,12000.0,3.0,2.0,1,1,1,1,4,2,1,3,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1.0,1.0,1.0,2,1,3,1,1,,2.0,,,,2.0,,,,,,,,,,,,,0,0
303102,303102,303,3031,2,3,3,1,20,1,3,3,3,9,1,4,6,1,1.0,3000.0,2.0,1.0,1,1,2,1,2,2,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,1,2,2,2,,,,,,,,,,,,,,,,,,,0,0
401101,401101,401,4011,1,4,1,1,59,1,3,3,1,3,1,1,4,1,1.0,3500.0,1.0,1.0,1,1,2,1,1,2,1,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,,,,1,1,2,1,1,,2.0,,,,,,,,,,,,,,,,,0,0
503101,503101,503,5031,1,5,3,1,37,2,6,3,1,9,1,4,5,1,1.0,1000.0,1.0,2.0,1,1,2,2,9,2,3,6,2,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
603102,603102,603,6031,2,6,3,1,53,2,3,3,2,7,1,6,5,1,1.0,500.0,1.0,1.0,1,1,2,2,3,2,2,4,1,1,4,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,2,1,2,,,,,,,,,,,,,,,,,,,0,0
704101,704101,704,7041,1,7,4,1,40,1,2,6,1,20,4,6,1,7,,,,,1,1,2,1,1,2,1,3,0,2,6,0,2,2,2,2,2,2,2,2,2,2,,,,2,1,1,2,2,,,,,,,,,,,,,,,,,,,0,0
803102,803102,803,8031,2,8,3,1,24,2,8,2,2,24,2,2,1,1,1.0,3600.0,2.0,1.0,1,1,1,2,2,2,1,3,1,2,3,2,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
904102,904102,904,9041,2,9,4,1,41,2,3,3,2,19,1,2,5,1,1.0,99888.0,,,1,1,2,1,1,2,3,4,1,1,4,2,2,2,2,2,2,2,2,2,2,2,,,,3,1,2,2,2,,,,,,,,,,,,,,,,,,,0,0
1004101,1004101,1004,10041,1,10,4,1,37,1,3,3,1,2,1,1,5,1,1.0,3000.0,1.0,1.0,1,1,1,1,1,2,3,4,1,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
1102102,1102102,1102,11021,2,11,2,1,53,2,2,6,2,22,1,3,5,1,1.0,1800.0,1.0,1.0,2,1,2,1,1,2,3,5,2,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
1201102,1201102,1201,12011,2,12,1,1,37,2,3,3,2,11,4,3,5,7,,,,,1,1,2,1,5,2,3,5,2,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,2,3,3,2,1,,,,,,,,,,,,,,,,,,,0,0
1303104,1303104,1303,13031,4,13,3,1,20,1,6,3,3,27,1,6,6,1,3.0,900.0,1.0,2.0,1,1,2,2,3,1,2,4,1,1,5,3,1,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,2.0,,,,,,,,,,,,,,,,,,0,0
1408102,1408102,1408,14081,2,14,8,1,65,1,2,1,2,7,4,6,5,1,2.0,1080.0,1.0,2.0,2,2,1,1,2,1,3,3,0,1,2,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,1,2,,,,,,,,,,,,,,,,,,,0,0
1504101,1504101,1504,15041,1,15,4,1,46,1,6,3,1,17,1,5,1,1,5.0,2000.0,1.0,2.0,1,1,2,1,1,2,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2.0,2.0,1.0,3,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
1609104,1609104,1609,16091,4,16,9,1,22,1,6,3,3,14,4,3,6,1,1.0,1800.0,1.0,1.0,1,1,2,1,5,2,3,4,1,1,6,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
1704101,1704101,1704,17041,1,17,4,1,42,2,3,3,1,5,1,2,2,7,,,,,1,1,2,2,1,2,3,5,1,1,4,0,1,2,2,2,2,2,2,2,2,2,,,,2,1,3,2,1,1.0,,,,,,,,,2.0,,,,,,,,,1,1
1816102,1816102,1816,18161,2,18,16,1,53,2,2,6,2,13,4,5,5,7,,,,,2,2,2,2,1,1,2,3,1,2,2,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,2,,,,,,,,,,,,,,,,,,,0,0
1904105,1904105,1904,19041,5,19,4,1,32,2,3,3,3,8,1,1,6,9,,,,,2,2,2,1,2,2,5,8,2,1,5,2,2,2,2,2,2,2,2,2,2,2,,,,9,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
2008101,2008101,2008,20081,1,20,8,1,45,1,2,5,1,28,4,2,2,1,5.0,2600.0,1.0,2.0,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,,,,3,3,3,1,2,,,,,,,,,,,,,,,,,,,0,0
2105101,2105101,2105,21051,1,21,5,1,46,1,6,3,1,15,1,5,5,1,1.0,99888.0,,,1,1,1,1,5,2,3,5,2,1,4,1,2,1,2,2,2,2,2,2,2,1,2.0,2.0,1.0,2,2,3,1,1,,2.0,,,,,,,,,,,,,,,,,0,0
2205103,2205103,2205,22051,3,22,5,1,23,2,8,2,3,11,1,3,6,6,,,,,1,1,2,2,3,2,3,3,1,1,3,2,1,2,2,2,2,2,2,2,2,9,,,,8,2,3,2,2,1.0,,,,,,,,,2.0,,,,,,,,,1,1
2318101,2318101,2318,23181,1,23,18,1,50,1,2,6,1,16,3,3,3,1,1.0,1800.0,1.0,2.0,1,1,2,1,1,2,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
2413101,2413101,2413,24131,1,24,13,1,47,2,6,3,1,2,4,1,4,1,5.0,400.0,1.0,2.0,1,1,2,2,2,2,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,1,1,,,,,,,,,,,,,,,,,,,0,0
2502101,2502101,2502,25021,1,25,2,1,64,1,8,5,1,9,1,4,5,5,,,,,1,1,1,1,5,2,1,5,2,1,2,0,1,1,2,2,2,2,2,2,2,1,1.0,1.0,1.0,2,1,3,1,1,2.0,2.0,,,,,,,,,,,,,,,,,0,0
2601101,2601101,2601,26011,1,26,1,1,60,2,2,6,1,32,3,3,2,1,1.0,1500.0,1.0,1.0,1,2,2,2,1,2,2,5,2,1,4,2,2,2,2,2,2,2,2,2,2,2,,,,9,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
2601201,2601201,2601,26012,1,26,1,2,26,2,8,4,1,32,3,3,1,1,5.0,600.0,2.0,2.0,1,2,2,1,3,2,2,5,2,1,4,0,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
2701101,2701101,2701,27011,1,27,1,1,50,2,8,4,1,28,1,2,6,1,1.0,6000.0,3.0,1.0,1,2,1,2,1,2,2,5,1,1,1,1,1,1,2,2,2,2,1,2,2,2,,,,1,2,3,2,2,1.0,2.0,,,,,2.0,,,1.0,,,,,,,,,1,1
2805101,2805101,2805,28051,1,28,5,1,53,2,6,3,1,11,2,3,6,1,5.0,900.0,1.0,2.0,2,1,2,2,1,2,2,3,0,2,4,3,2,2,2,2,2,2,2,2,2,2,,,,3,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
2920101,2920101,2920,29201,1,29,20,1,39,1,6,3,1,27,2,6,5,1,1.0,8000.0,2.0,1.0,1,1,2,1,5,2,2,2,1,1,6,1,2,2,1,2,2,2,2,2,2,1,1.0,1.0,2.0,2,2,3,1,1,,,2.0,,,,,,,,,,,,,,,,0,0
3001104,3001104,3001,30011,4,30,1,1,80,2,8,2,5,9,1,4,6,5,,,,,2,1,1,1,9,2,3,5,2,2,5,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
3102103,3102103,3102,31021,3,31,2,1,42,2,2,2,5,21,1,5,5,1,5.0,900.0,1.0,2.0,1,3,2,1,2,1,3,4,0,1,7,2,2,2,2,2,2,2,2,2,2,2,,,,1,3,2,2,2,,,,,,,,,,,,,,,,,,,0,0
3209102,3209102,3209,32091,2,32,9,1,67,2,2,6,2,16,4,3,5,7,,,,,2,1,2,1,1,2,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
3316101,3316101,3316,33161,1,33,16,1,32,2,3,3,1,27,3,6,1,1,1.0,750.0,1.0,2.0,1,1,2,2,3,2,2,3,1,2,4,2,2,2,2,2,2,2,2,2,2,2,,,,8,2,3,1,2,,,,,,,,,,,,,,,,,,,0,0
3403102,3403102,3403,34031,2,34,3,1,50,2,5,2,2,5,1,2,5,1,1.0,3200.0,2.0,1.0,1,1,1,1,3,2,3,4,1,1,4,3,1,1,2,2,2,2,2,2,2,2,,,,1,1,3,2,1,2.0,2.0,,,,,,,,,,,,,,,,,0,0
3504103,3504103,3504,35041,3,35,4,1,45,1,6,3,5,26,1,1,3,1,4.0,99888.0,,,2,1,2,2,1,2,2,2,1,1,6,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,1,1,,,,,,,,,,,,,,,,,,,0,0
3603101,3603101,3603,36031,1,36,3,1,22,1,8,4,1,22,1,3,6,6,,,,,1,1,1,1,3,2,3,7,3,1,1,0,2,2,2,2,2,2,2,2,2,1,1.0,1.0,1.0,9,1,3,1,1,,,,,,,,,,,,,,,,,,,0,0
3704102,3704102,3704,37041,2,37,4,1,32,2,6,3,2,2,1,1,5,1,5.0,3000.0,2.0,2.0,1,1,2,2,3,2,2,3,1,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,1,2,3,2,1,,,,,,,,,,,,,,,,,,,0,0
3804101,3804101,3804,38041,1,38,4,1,39,2,6,3,1,28,1,2,4,1,1.0,2500.0,1.0,1.0,1,1,1,2,1,2,2,3,1,1,3,1,2,2,2,2,2,2,2,2,2,2,,,,2,1,3,1,1,,,,,,,,,,,,,,,,,,,0,0
3903102,3903102,3903,39031,2,39,3,1,38,2,7,3,2,9,1,4,5,1,5.0,3000.0,1.0,2.0,1,1,1,1,4,2,2,6,1,1,3,2,2,1,2,2,2,2,2,2,2,2,,,,2,1,3,2,1,,2.0,,,,,,,,,,,,,,,,,0,0
4014101,4014101,4014,40141,1,40,14,1,73,1,0,0,1,12,4,6,5,9,,,,,2,2,2,2,1,2,2,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,1,2,,,,,,,,,,,,,,,,,,,0,0
4102102,4102102,4102,41021,2,41,2,1,25,2,3,3,2,13,4,5,5,1,1.0,1800.0,1.0,1.0,1,2,2,1,2,2,2,4,1,1,3,2,1,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,1,2.0,,,,,,,,,,,,,,,,,,0,0
4215101,4215101,4215,42151,1,42,15,1,55,2,5,3,1,21,2,5,4,1,5.0,1000.0,1.0,2.0,2,1,2,1,4,2,3,4,1,1,5,3,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
4315102,4315102,4315,43151,2,43,15,1,26,2,8,4,3,8,4,1,6,7,,,,,1,1,2,2,3,2,3,5,2,1,3,1,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
4405101,4405101,4405,44051,1,44,5,1,63,2,0,0,1,15,3,5,4,1,5.0,700.0,1.0,2.0,2,2,2,1,1,1,1,2,0,2,1,1,2,2,2,2,2,2,2,2,2,1,1.0,1.0,2.0,9,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
4511101,4511101,4511,45111,1,45,11,1,78,2,3,3,1,27,4,6,4,7,,,,,2,3,2,2,1,1,2,4,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,1,2,,,,,,,,,,,,,,,,,,,0,0
4604101,4604101,4604,46041,1,46,4,1,59,1,6,3,1,12,1,6,5,1,5.0,3600.0,1.0,2.0,1,1,2,1,5,2,1,4,2,1,2,2,2,2,2,1,2,2,2,2,2,2,,,,1,3,3,1,2,,,,2.0,,,,,,,,,,,,,,,0,0
4705101,4705101,4705,47051,1,47,5,1,52,2,3,3,1,29,3,5,1,7,,,,,2,2,2,1,1,2,1,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
4815101,4815101,4815,48151,1,48,15,1,85,2,0,0,1,12,4,6,4,1,5.0,1000.0,1.0,2.0,2,1,2,1,2,2,1,2,0,2,1,1,2,2,2,2,2,2,2,2,2,2,,,,3,9,9,2,2,,,,,,,,,,,,,,,,,,,0,0
4901104,4901104,4901,49011,4,49,1,1,30,2,3,3,3,9,1,4,6,7,,,,,1,1,2,2,2,2,1,5,0,1,7,2,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
5004102,5004102,5004,50041,2,50,4,1,40,2,6,3,2,23,1,6,1,1,1.0,5000.0,1.0,1.0,1,1,2,2,1,2,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,3,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
5101101,5101101,5101,51011,1,51,1,1,69,1,0,0,1,13,4,5,5,9,,,,,2,1,2,2,3,2,1,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2,,,,9,2,3,1,2,,,,,,,,,,,,,,,,,,,0,0
5205102,5205102,5205,52051,2,52,5,1,34,2,8,3,2,5,1,2,5,1,5.0,5000.0,1.0,2.0,1,1,2,1,4,2,1,5,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,3,3,3,2,1,,,,,,,,,,,,,,,,,,,0,0
5305101,5305101,5305,53051,1,53,5,1,45,2,8,5,1,17,1,5,6,3,5.0,20000.0,3.0,2.0,1,2,2,2,4,2,3,5,3,1,3,1,2,2,2,1,2,2,2,2,2,2,,,,8,3,3,1,2,,,,2.0,,,,,,,,,,,,,,,0,0
5410102,5410102,5410,54101,2,54,10,1,53,2,2,6,2,32,2,3,5,7,1.0,900.0,1.0,1.0,2,1,2,2,3,2,1,3,1,1,4,0,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
5519102,5519102,5519,55191,2,55,19,1,70,2,2,4,2,19,3,2,5,7,,,,,2,2,2,1,3,2,1,4,1,2,2,0,2,2,2,2,2,2,2,2,2,2,,,,8,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
5606102,5606102,5606,56061,2,56,6,1,56,2,2,6,2,29,4,5,5,7,,,,,2,2,2,2,9,2,3,5,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,2,,,,,,,,,,,,,,,,,,,0,0
5704101,5704101,5704,57041,1,57,4,1,48,1,8,3,1,9,1,4,5,1,1.0,20000.0,3.0,2.0,1,1,1,1,5,2,3,6,1,1,3,3,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,1,2,,,,,,,,,,,,,,,,,,,0,0
5805101,5805101,5805,58051,1,58,5,1,37,1,10,2,1,2,1,1,6,1,5.0,50000.0,3.0,2.0,1,1,2,1,5,2,2,4,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1.0,1.0,1.0,3,3,3,2,1,,2.0,,,,,,,,,,,,,,,,,0,0
5909101,5909101,5909,59091,1,59,9,1,62,1,6,3,1,30,4,5,1,1,5.0,1200.0,1.0,2.0,2,1,2,1,9,1,3,4,0,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,9,1,3,1,1,,,,,,,,,,,,,,,,,,,0,0
6004102,6004102,6004,60041,2,60,4,1,44,1,3,3,2,26,1,1,5,1,1.0,99888.0,,,1,1,2,1,5,2,2,4,1,1,4,1,1,2,2,2,2,1,2,2,2,1,1.0,2.0,2.0,1,2,3,1,2,2.0,,,,,2.0,,,,,,,,,,,,,0,0
6103101,6103101,6103,61031,1,61,3,1,45,1,6,3,1,11,1,3,1,1,1.0,2500.0,1.0,1.0,1,1,2,1,3,2,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,2.0,,,,,,,,,,,,,,,,,,0,0
6214101,6214101,6214,62141,1,62,14,1,61,1,2,6,1,12,2,6,2,1,1.0,4000.0,2.0,1.0,1,1,2,1,4,2,1,1,0,1,1,1,2,2,2,2,2,2,1,2,2,2,,,,9,2,2,2,2,,,,,,,2.0,,,,,,,,,,,,0,0
6316102,6316102,6316,63161,2,63,16,1,34,2,8,5,2,24,4,2,5,7,5.0,500.0,1.0,2.0,1,1,1,1,3,2,3,5,1,1,5,1,2,2,2,1,2,2,2,2,2,2,,,,2,2,3,1,1,,,,2.0,,,,,,,,,,,,,,,0,0
6403101,6403101,6403,64031,1,64,3,1,51,2,10,2,1,10,1,1,3,1,1.0,99888.0,,,1,1,1,1,5,2,3,7,2,1,3,3,2,2,2,2,2,2,1,2,2,1,1.0,2.0,2.0,2,1,3,2,2,,,,,,,2.0,,,,,,,,,,,,0,0
6519102,6519102,6519,65191,2,65,19,1,49,2,3,1,2,10,3,1,5,7,,,,,1,2,2,2,1,2,3,5,1,1,3,2,1,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,2.0,,,,,,,,,,,,,,,,,,0,0
6614104,6614104,6614,66141,4,66,14,1,30,2,3,3,6,32,4,3,1,7,,,,,1,1,2,2,2,1,3,4,1,1,5,2,2,2,2,2,2,2,2,2,2,2,,,,9,3,3,2,2,,,,,,,,,,,,,,,,,,,0,0
6705101,6705101,6705,67051,1,67,5,1,72,1,3,2,1,4,1,6,4,5,5.0,350.0,1.0,2.0,1,1,2,1,4,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2.0,2.0,2.0,9,2,2,1,2,2.0,,,,,1.0,,,,,,,,,1.0,,,,1,1
6804102,6804102,6804,68041,2,68,4,1,71,2,3,3,5,9,1,4,4,5,,,,,1,1,2,1,2,2,3,6,3,1,3,1,2,2,2,2,2,2,2,2,2,2,,,,9,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
6903101,6903101,6903,69031,1,69,3,1,38,2,3,3,1,18,3,3,5,1,5.0,1200.0,1.0,2.0,1,1,2,1,1,1,4,5,2,1,4,1,1,1,2,2,2,2,2,2,2,1,1.0,1.0,2.0,2,1,1,1,1,2.0,2.0,,,,,,,,,,,,,,,,,0,0
7003101,7003101,7003,70031,1,70,3,1,64,2,0,0,1,1,1,3,2,7,,,,,2,1,1,2,2,2,3,4,1,1,4,2,2,2,2,2,2,2,2,2,2,2,,,,9,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
7103101,7103101,7103,71031,1,71,3,1,38,1,3,3,1,25,4,1,1,1,5.0,2000.0,1.0,2.0,1,1,2,1,1,2,2,3,1,2,5,1,1,2,2,2,2,2,2,2,2,2,,,,2,2,3,1,1,2.0,,,,,,,,,,,,,,,,,,0,0
7215102,7215102,7215,72151,2,72,15,1,49,2,10,2,2,32,2,3,5,1,1.0,99888.0,,,1,1,1,1,4,2,3,7,1,1,3,3,1,1,2,2,2,2,2,2,2,1,1.0,2.0,2.0,1,1,3,2,2,2.0,2.0,,,,,,,,,,,,,,,,,0,0
7302101,7302101,7302,73021,1,73,2,1,64,2,7,3,1,2,1,1,2,7,,,,,1,1,2,1,1,2,3,4,1,1,1,0,1,2,2,2,2,2,2,2,2,1,2.0,2.0,1.0,2,2,3,2,1,2.0,,,,,,,,,,,,,,,,,,0,0
7402103,7402103,7402,74021,3,74,2,1,39,1,6,3,3,15,1,5,1,1,1.0,14000.0,3.0,1.0,1,1,2,1,4,2,2,5,1,1,4,2,1,2,2,2,2,2,2,2,2,2,,,,2,1,3,1,2,2.0,,,,,,,,,,,,,,,,,,0,0
7501102,7501102,7501,75011,2,75,1,1,31,2,8,3,4,21,1,5,6,1,1.0,8000.0,3.0,1.0,1,1,2,2,2,2,2,5,1,1,3,1,2,2,2,2,2,2,2,2,2,1,2.0,2.0,1.0,3,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
7615101,7615101,7615,76151,1,76,15,1,54,1,0,0,1,8,4,1,1,7,,,,,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,8,9,9,2,1,,,,,,,,,,,,,,,,,,,0,0
7718103,7718103,7718,77181,3,77,18,1,27,2,3,3,5,7,3,6,1,7,,,,,1,1,2,1,2,2,3,5,1,1,8,0,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
7803101,7803101,7803,78031,1,78,3,1,45,1,8,5,1,32,1,3,5,1,1.0,8000.0,3.0,1.0,1,1,2,2,3,2,2,3,1,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,8,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
7912101,7912101,7912,79121,1,79,12,1,40,2,6,3,1,20,3,6,6,1,1.0,3000.0,2.0,2.0,1,1,2,1,3,2,2,3,1,1,3,2,1,1,2,2,2,2,2,2,2,2,,,,1,2,3,2,2,2.0,1.0,,,,,,,,,1.0,,,,,,,,1,1
8009101,8009101,8009,80091,1,80,9,1,54,1,0,0,1,30,4,5,5,1,2.0,600.0,1.0,2.0,2,1,2,2,1,1,1,2,0,2,5,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,2,1,2,,,,,,,,,,,,,,,,,,,0,0
8111101,8111101,8111,81111,1,81,11,1,32,2,6,3,1,7,4,6,1,1,1.0,855.0,1.0,2.0,1,1,1,2,3,1,2,3,0,2,3,2,2,2,2,2,2,2,2,2,2,2,,,,3,2,3,2,1,,,,,,,,,,,,,,,,,,,0,0
8203101,8203101,8203,82031,1,82,3,1,50,2,3,3,1,2,1,1,5,1,1.0,2400.0,1.0,1.0,1,1,1,1,2,2,2,3,1,1,3,3,1,2,2,2,2,2,2,2,2,2,,,,1,3,3,2,1,2.0,,,,,,,,,,,,,,,,,,0,0
8301101,8301101,8301,83011,1,83,1,1,33,2,8,4,1,9,1,4,2,1,1.0,13000.0,3.0,2.0,1,1,1,1,5,2,2,3,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1.0,2.0,2.0,3,1,3,2,2,2.0,2.0,,,,,,,,,,,,,,,,,0,0
8402102,8402102,8402,84021,2,84,2,1,36,2,8,3,2,9,1,4,5,1,1.0,16000.0,2.0,2.0,1,1,2,1,4,2,2,3,1,1,3,2,2,1,2,2,2,2,2,2,2,2,,,,9,9,9,2,2,,2.0,,,,,,,,,,,,,,,,,0,0
8520103,8520103,8520,85201,3,85,20,1,34,1,3,3,3,25,4,1,2,1,2.0,1200.0,1.0,2.0,2,1,2,1,1,2,3,3,1,1,7,2,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,2,,,,,,,,,,,,,,,,,,,0,0
8604101,8604101,8604,86041,1,86,4,1,72,2,2,5,1,5,2,2,3,7,,,,,1,2,2,1,3,2,2,4,1,1,2,0,2,2,2,2,2,2,2,2,2,2,,,,3,9,9,1,2,,,,,,,,,,,,,,,,,,,0,0
8717101,8717101,8717,87171,1,87,17,1,45,2,8,4,1,19,3,2,3,1,1.0,99888.0,,,1,1,2,1,2,2,2,3,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1.0,1.0,2.0,3,1,3,2,2,2.0,,,,,,,,,,,,,,,,,,0,0
8802102,8802102,8802,88021,2,88,2,1,35,1,6,3,3,9,1,4,6,1,1.0,7000.0,3.0,2.0,1,1,2,2,1,2,2,5,1,1,5,2,2,2,2,2,2,2,2,2,2,2,,,,1,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
8904102,8904102,8904,89041,2,89,4,1,35,2,8,5,2,24,4,2,5,1,1.0,15000.0,3.0,1.0,1,1,1,2,4,2,2,4,2,1,4,2,2,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,9,9,2,2,2,,,,,,,,,,,,,,,,,,,0,0
9001101,9001101,9001,90011,1,90,1,1,29,2,8,5,1,16,2,3,6,1,1.0,9000.0,2.0,1.0,1,1,2,1,2,2,4,6,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,0,0
9111101,9111101,9111,91111,1,91,11,1,44,2,3,3,1,8,4,1,2,1,1.0,2500.0,1.0,2.0,1,1,1,1,3,2,2,3,1,2,5,4,2,2,2,2,2,2,2,2,2,1,2.0,1.0,2.0,2,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
9216103,9216103,9216,92161,3,92,16,1,26,1,6,3,3,21,3,5,1,1,1.0,1000.0,1.0,2.0,1,1,2,1,1,2,2,5,1,1,4,2,2,2,2,2,2,2,2,2,2,2,,,,2,1,1,2,1,,,,,,,,,,,,,,,,,,,0,0
9302101,9302101,9302,93021,1,93,2,1,32,1,2,6,1,32,2,3,6,2,4.0,30000.0,1.0,2.0,1,1,2,1,5,2,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,,,,9,1,3,1,1,,,,,,,,,,,,,,,,,,,0,0
9403101,9403101,9403,94031,1,94,3,1,46,1,6,3,1,14,1,3,5,1,1.0,15000.0,3.0,1.0,1,1,2,2,3,2,2,5,2,2,3,1,2,1,2,2,2,2,2,2,2,2,,,,2,1,3,1,2,,2.0,,,,,,,,,,,,,,,,,0,0
9505101,9505101,9505,95051,1,95,5,1,49,2,3,3,1,25,1,1,2,1,1.0,4000.0,2.0,1.0,1,1,2,2,4,2,2,3,1,1,3,2,1,1,1,1,2,1,2,2,2,2,,,,9,2,3,1,2,1.0,2.0,2.0,2.0,,2.0,,,,1.0,,,,,,,,,1,1
9619102,9619102,9619,96191,2,96,19,1,63,2,3,3,2,24,4,2,5,7,,,,,2,2,1,1,3,2,2,3,0,2,3,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,1,2,2,,,,,,,,,,,,,,,,,,,0,0
9703101,9703101,9703,97031,1,97,3,1,78,1,2,6,1,24,1,2,1,1,5.0,2000.0,1.0,2.0,1,1,2,1,1,2,3,6,1,2,7,3,2,1,2,2,2,2,2,2,2,2,,,,9,3,3,2,2,,2.0,,,,,,,,,,,,,,,,,0,0
